Professor,Artigo
THAIS GAUDENCIO DO REGO,Origin and evolution of RNA-dependent RNA polymerase
THAIS GAUDENCIO DO REGO,Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs
THAIS GAUDENCIO DO REGO,tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world
THAIS GAUDENCIO DO REGO,Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models
THAIS GAUDENCIO DO REGO,A novel method to predict genomic islands based on mean shift clustering algorithm
THAIS GAUDENCIO DO REGO,Evolution of transfer RNA and the origin of the translation system
THAIS GAUDENCIO DO REGO,Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina
THAIS GAUDENCIO DO REGO,Origin of the 16S ribosomal molecule from ancestor tRNAs
THAIS GAUDENCIO DO REGO,Peptidyl transferase center and the emergence of the translation system
THAIS GAUDENCIO DO REGO,Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models
THAIS GAUDENCIO DO REGO,Thermo-search: lifestyle and thermostability analysis
THAIS GAUDENCIO DO REGO,Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação
THAIS GAUDENCIO DO REGO,Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining
THAIS GAUDENCIO DO REGO,Sovereign risk ratings’ country classification using machine learning
THAIS GAUDENCIO DO REGO,Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system
THAIS GAUDENCIO DO REGO,Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia
THAIS GAUDENCIO DO REGO,Machine generation of audio description for blind and visually impaired people
THAIS GAUDENCIO DO REGO,Origin of the 16S ribosomal molecule from ancestor tRNAs
THAIS GAUDENCIO DO REGO,A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras
THAIS GAUDENCIO DO REGO,"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona"
THAIS GAUDENCIO DO REGO,A proposal of the proteome before the last universal common ancestor (LUCA)
THAIS GAUDENCIO DO REGO,In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans
THAIS GAUDENCIO DO REGO,RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction
THAIS GAUDENCIO DO REGO,An overview of databases and bioinformatics tools for plant antimicrobial peptides
THAIS GAUDENCIO DO REGO,A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health
THAIS GAUDENCIO DO REGO,Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação
THAIS GAUDENCIO DO REGO,Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development
THAIS GAUDENCIO DO REGO,"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics"
THAIS GAUDENCIO DO REGO,Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos
THAIS GAUDENCIO DO REGO,Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303
THAIS GAUDENCIO DO REGO,CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles
THAIS GAUDENCIO DO REGO,Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras
THAIS GAUDENCIO DO REGO,A deep learning approach to detect hyoid bone in ultrasound exam
THAIS GAUDENCIO DO REGO,Neural decoding with SVM and feature selection in a rat active tactile discrimination task
THAIS GAUDENCIO DO REGO,Information theory-based detection of noisy bit planes in medical images
THAIS GAUDENCIO DO REGO,""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico"
THAIS GAUDENCIO DO REGO,Comparing gradient boosting algorithms to forecast sales in retail
THAIS GAUDENCIO DO REGO,Evaluating data representations for object recognition during pick-and-place manipulation tasks
THAIS GAUDENCIO DO REGO,Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise
THAIS GAUDENCIO DO REGO,Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.
THAIS GAUDENCIO DO REGO,Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language
THAIS GAUDENCIO DO REGO,Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations
THAIS GAUDENCIO DO REGO,League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables
THAIS GAUDENCIO DO REGO,The structural proteome for the primordial glycolysis/gluconeogenesis
THAIS GAUDENCIO DO REGO,Prediction of potential thermostable proteins in Xylella fastidiosa
THAIS GAUDENCIO DO REGO,Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study
THAIS GAUDENCIO DO REGO,Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net
THAIS GAUDENCIO DO REGO,Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks
THAIS GAUDENCIO DO REGO,A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context
THAIS GAUDENCIO DO REGO,Identification of speechless intervals in audio tracks using convolutional neural networks
THAIS GAUDENCIO DO REGO,Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning
THAIS GAUDENCIO DO REGO,Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas
THAIS GAUDENCIO DO REGO,Long-term demand forecasting applied to a retail company using Prophet
THAIS GAUDENCIO DO REGO,Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet
THAIS GAUDENCIO DO REGO,Evaluating Deep Learning-based Chess-Engine Endgame Strategies
THAIS GAUDENCIO DO REGO,Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis
THAIS GAUDENCIO DO REGO,Automatic Recognition of Units
THAIS GAUDENCIO DO REGO,Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought
THAIS GAUDENCIO DO REGO,Portal para exposição de infográficos interativos dos dados das proposições da Câmara dos Deputados
THAIS GAUDENCIO DO REGO,Detecção de ilhas genômicas em procariotos utilizando o método Expectation-Maximization
THAIS GAUDENCIO DO REGO,Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG
THAIS GAUDENCIO DO REGO,Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis
THAIS GAUDENCIO DO REGO,Assessment of volumetric dense tissue segmentation in tomosynthesis using deep virtual clinical trials
THAIS GAUDENCIO DO REGO,Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação
THAIS GAUDENCIO DO REGO,Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models
THAIS GAUDENCIO DO REGO,Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid
THAIS GAUDENCIO DO REGO,Bioinformatics for the identification of antimicrobial targets in oral bacteria
GLEDSON ELIAS,A recommendation framework for allocating global software teams in software product line projects
GLEDSON ELIAS,X-arm: an asset representation model for component repository systems
GLEDSON ELIAS,A systematic review of software product lines applied to mobile middleware
GLEDSON ELIAS,Performance issues of ad hoc routing protocols in a network scenario used for videophone applications
GLEDSON ELIAS,Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service
GLEDSON ELIAS,Arquitetura e Protocolos de Rede TCP-IP
GLEDSON ELIAS,A layered routing architecture for infrastructure wireless mesh networks
GLEDSON ELIAS,An XML-based component specification model for an adaptive middleware of interactive digital television systems
GLEDSON ELIAS,"Spontaneous software: a Web-based, object computing paradigm"
GLEDSON ELIAS,"Exploring an open, distributed multimedia framework to design and develop an adaptive middleware for interactive digital television systems"
GLEDSON ELIAS,A risk-driven multi-objective evolutionary approach for selecting software requirements
GLEDSON ELIAS,Um Serviço de Repositório Compartilhado e Distribuído para Suporte ao Desenvolvimento Baseado em Componentes
GLEDSON ELIAS,A Configuration Distribution System for Heterogeneous Networks.
GLEDSON ELIAS,A fuzzy-based approach for selecting technically qualified distributed software development teams
GLEDSON ELIAS,"Clustering large-scale, distributed software component repositories"
GLEDSON ELIAS,Simulation-based performance evaluation of the SNDP protocol for infrastructure WMNs
GLEDSON ELIAS,Integrating communication paradigms in a mobile middleware product line
GLEDSON ELIAS,Um framework de recomendação para alocação de equipes de desenvolvimento em projetos distribuídos de linhas de produto de software
GLEDSON ELIAS,Qos specification and management in a middleware for distributed multimedia systems
GLEDSON ELIAS,"A Component-Based Configuration Framework for Open, Distributed Multimedia Systems"
GLEDSON ELIAS,Indexing Semi-Structured Data for Efficient Handling of Branching Path Expressions
GLEDSON ELIAS,A Scalable Neighborhood Discovery Protocol for Infrastructure Wireless Mesh Networks
GLEDSON ELIAS,A management and configuration infrastructure for RNP’s digital video distribution service
GLEDSON ELIAS,A Component Interconnection Model for Interactive Digital Television
GLEDSON ELIAS,ComponentForge: Um Framework Arquitetural para Desenvolvimento Distribuído Baseado em Componentes. VI Workshop de Desenvolvimento Baseado em Componentes. Recife-PE
GLEDSON ELIAS,Um serviço CORBA para Descoberta de Componentes
GLEDSON ELIAS,"A quantitative, evidence-based approach for recommending software modules"
GLEDSON ELIAS,Large software component repositories into small index files
GLEDSON ELIAS,A search service for software components based on a semi-structured data representation model
GLEDSON ELIAS,Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas
GLEDSON ELIAS,"A component-based configuration and management framework for open, distributed multimedia systems"
GLEDSON ELIAS,Cosmos: Um Framework para Configuração e Gerenciamento de Sistemas Multimídia Distribuídos Abertos
GLEDSON ELIAS,A metacomponent model to support the extensibility and evolvability of networked applications
GLEDSON ELIAS,Selection and allocation of people based on technical and personality profiles for software development projects
GLEDSON ELIAS,"A Multi-Objective, Risk-based Approach for Selecting Software Requirements."
GLEDSON ELIAS,An ontology for the recommendation of technically qualified teams in distributed software projects
GLEDSON ELIAS,Suporte à Certificação de Componentes no Modelo de Representação X-ARM
GLEDSON ELIAS,"Sharing Software Components Using a Service-Oriented, Distributed and Secure Infrastructure"
GLEDSON ELIAS,X-ARM: A step towards reuse of commercial and open source components
GLEDSON ELIAS,"Improving reuse of off-the-shelf components with shared, distributed component repository systems"
GLEDSON ELIAS,Uma arquitetura de Middleware para sistemas de televisão interativa
GLEDSON ELIAS,CoDelivery: an environment for distribution of reusable components
GLEDSON ELIAS,An Automated Approach for Selecting Bugs in Component-Based Software Projects
GLEDSON ELIAS,Uso de Atributos Não-técnicos na Alocação de Equipes em Projetos de Desenvolvimento Distribuído de Software
GLEDSON ELIAS,Uma Abordagem Baseada em Lógica Nebulosa para Seleção de Equipes Distribuídas Tecnicamente Qualificadas
GLEDSON ELIAS,Customizing message-oriented mobile middleware
GLEDSON ELIAS,Towards a mobile middleware product line: A requirement analysis
GLEDSON ELIAS,"An Extensible, Multi-paradigm Message-oriented Mobile Middleware."
GLEDSON ELIAS,Um Modelo de Metadados para Representação de Componentes de Software
GLEDSON ELIAS,Componentforge: Um framework arquitetural para desenvolvimento distribuiçao baseado em componentes
GLEDSON ELIAS,Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa
GLEDSON ELIAS,A Risk-Based Approach for Selecting Software Requirements
GLEDSON ELIAS,Uma Ontologia para Recomendação de Equipes Tecnicamente Qualificadas em Projetos Distribuídos de Software
GLEDSON ELIAS,"Experimental Evaluation of a Multi-paradigm, Message-Oriented Mobile Middleware"
GLEDSON ELIAS,Uma Técnica de Indexação de Artefatos de Software Baseada em Dados Semi-Estruturados
GLEDSON ELIAS,Um Relato de Experiência com uma Infra-Estrutura para Desenvolvimento Distribuído Baseado em Componentes
GLEDSON ELIAS,Uma Ferramenta de Configuração e Gerenciamento de Serviços de Distribuição de Vídeo Digital
GLEDSON ELIAS,A meta-component model for dynamic adaptation support in a middleware system for interactive tv
GLEDSON ELIAS,Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa
GLEDSON ELIAS,A Context Data Metamodel for Distributed Middleware Platforms in Smart Cities
GLEDSON ELIAS,Evaluating an Application Ontology for Recommending Technically Qualified Distributed Development Teams
GLEDSON ELIAS,"BranchGuide: an indexing technique for efficient, lossless processing of branching path queries"
GLEDSON ELIAS,Simulation-Based Performance Evaluation of the MLSD Protocol for Infrastructure WMNs
GLEDSON ELIAS,Usando hill climbing para identificação de componentes de software similares
GLEDSON ELIAS,MLSD: A Network Topology Discovery Protocol for Infrastructure Wireless Mesh Networks
GLEDSON ELIAS,A Layered Routing Architecture for Infrastructure Wireless Mesh Networks
GLEDSON ELIAS,Turning Large Software Component Repositories into Small Index Files
GLEDSON ELIAS,A component interconnection model for interactive digital television systems
GLEDSON ELIAS,An Automated Approach for Selecting Web Services
GLEDSON ELIAS,Alocando Equipes Distribuídas com base em Aspectos Não-Técnicos
GLEDSON ELIAS,Uma Estratégia de Otimização para Agrupamento de Componentes de Software Baseada em DSM
GLEDSON ELIAS,Uma Ferramenta para Propagação da Percepção em Projetos de Software Através de Microblogs
GLEDSON ELIAS,Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos
GLEDSON ELIAS,Um Ambiente de Execução de Componentes JavaBeans
GLEDSON ELIAS,Um Protocolo de Descoberta de Vizinhança Escalável para Redes em Malha Sem Fio Infra-Estruturadas
GLEDSON ELIAS,Suporte a Relacionamentos entre Equipes Distribuídas em um Repositório de Componentes de Software
GLEDSON ELIAS,Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo
GLEDSON ELIAS,Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes
GLEDSON ELIAS,Explorando Técnicas de Agrupamento de Dados na Indexação de Repositórios de Componentes de Software
GLEDSON ELIAS,"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)"
TEOBALDO LEITE BULHÕES JUNIOR,The static bike relocation problem with multiple vehicles and visits
TEOBALDO LEITE BULHÕES JUNIOR,The vehicle routing problem with service level constraints
TEOBALDO LEITE BULHÕES JUNIOR,A branch-and-price algorithm for the minimum latency problem
TEOBALDO LEITE BULHÕES JUNIOR,A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem
TEOBALDO LEITE BULHÕES JUNIOR,On the exact solution of a large class of parallel machine scheduling problems
TEOBALDO LEITE BULHÕES JUNIOR,On the complete set packing and set partitioning polytopes: Properties and rank 1 facets
TEOBALDO LEITE BULHÕES JUNIOR,Exact approaches for single machine total weighted tardiness batch scheduling
TEOBALDO LEITE BULHÕES JUNIOR,New heuristics for the Bicluster Editing Problem
TEOBALDO LEITE BULHÕES JUNIOR,Branch-and-cut approaches for p-cluster editing
TEOBALDO LEITE BULHÕES JUNIOR,A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery
TEOBALDO LEITE BULHÕES JUNIOR,Conference scheduling: A clustering-based approach
TEOBALDO LEITE BULHÕES JUNIOR,Scheduling the Brazilian OR conference
TEOBALDO LEITE BULHÕES JUNIOR,Branch-and-price for p-cluster editing
TEOBALDO LEITE BULHÕES JUNIOR,Exact and heuristic algorithms for minimizing the makespan on a single machine scheduling problem with sequence-dependent setup times and release dates
TEOBALDO LEITE BULHÕES JUNIOR,A parallel hybrid metaheuristic for bicluster editing
TEOBALDO LEITE BULHÕES JUNIOR,A new family of route formulations for split delivery vehicle routing problems
TEOBALDO LEITE BULHÕES JUNIOR,The biclique partitioning polytope
TEOBALDO LEITE BULHÕES JUNIOR,An efficient hybrid genetic algorithm for the traveling salesman problem with release dates
TEOBALDO LEITE BULHÕES JUNIOR,Cluster Editing
GILBERTO FARIAS DE SOUSA FILHO,An efficient heuristic for the ring star problem
GILBERTO FARIAS DE SOUSA FILHO,Hybrid metaheuristic for bicluster editing problem
GILBERTO FARIAS DE SOUSA FILHO,Introdução à computação
GILBERTO FARIAS DE SOUSA FILHO,New algorithms for the minimum coloring cut problem
GILBERTO FARIAS DE SOUSA FILHO,New heuristics for the bicluster editing problem
GILBERTO FARIAS DE SOUSA FILHO,Branch-and-cut approaches for p-cluster editing
GILBERTO FARIAS DE SOUSA FILHO,Métodos exatos aplicados ao problema do corte global rotulado mınimo
GILBERTO FARIAS DE SOUSA FILHO,A parallel hybrid metaheuristic for bicluster editing
GILBERTO FARIAS DE SOUSA FILHO,Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp
GILBERTO FARIAS DE SOUSA FILHO,The biclique partitioning polytope
GILBERTO FARIAS DE SOUSA FILHO,Efficient heuristics for the minimum labeling global cut problem
GILBERTO FARIAS DE SOUSA FILHO,Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software
GILBERTO FARIAS DE SOUSA FILHO,"SILVA, Linconl David Nery e; SOUSA FILHO, Gilberto Farias de"
GILBERTO FARIAS DE SOUSA FILHO,Classificação de fraudes em licitações públicas através do agrupamento de empresas em conluios
