Professor,Artigo,Ano
THAIS GAUDÊNCIO,Origin and evolution of RNA-dependent RNA polymerase,2017
THAIS GAUDÊNCIO,Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs,2014
THAIS GAUDÊNCIO,tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world,2016
THAIS GAUDÊNCIO,Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models,2011
THAIS GAUDÊNCIO,A novel method to predict genomic islands based on mean shift clustering algorithm,2016
THAIS GAUDÊNCIO,Evolution of transfer RNA and the origin of the translation system,2014
THAIS GAUDÊNCIO,Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina,2014
THAIS GAUDÊNCIO,Origin of the 16S ribosomal molecule from ancestor tRNAs,2019
THAIS GAUDÊNCIO,Peptidyl transferase center and the emergence of the translation system,2017
THAIS GAUDÊNCIO,Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models,2012
THAIS GAUDÊNCIO,Thermo-search: lifestyle and thermostability analysis,2004
THAIS GAUDÊNCIO,Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação,2015
THAIS GAUDÊNCIO,Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,2015
THAIS GAUDÊNCIO,Machine generation of audio description for blind and visually impaired people,2023
THAIS GAUDÊNCIO,Sovereign risk ratings’ country classification using machine learning,2019
THAIS GAUDÊNCIO,Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system,2019
THAIS GAUDÊNCIO,Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,2008
THAIS GAUDÊNCIO,Origin of the 16S ribosomal molecule from ancestor tRNAs,2021
THAIS GAUDÊNCIO,A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,2019
THAIS GAUDÊNCIO,"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",2018
THAIS GAUDÊNCIO,A proposal of the proteome before the last universal common ancestor (LUCA),2016
THAIS GAUDÊNCIO,In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,2014
THAIS GAUDÊNCIO,RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,2021
THAIS GAUDÊNCIO,A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,2024
THAIS GAUDÊNCIO,An overview of databases and bioinformatics tools for plant antimicrobial peptides,2022
THAIS GAUDÊNCIO,Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,2015
THAIS GAUDÊNCIO,Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,2023
THAIS GAUDÊNCIO,"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",2019
THAIS GAUDÊNCIO,Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos,2016
THAIS GAUDÊNCIO,Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303,2014
THAIS GAUDÊNCIO,CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles,2020
THAIS GAUDÊNCIO,Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras,2019
THAIS GAUDÊNCIO,Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,2019
THAIS GAUDÊNCIO,A deep learning approach to detect hyoid bone in ultrasound exam,2019
THAIS GAUDÊNCIO,Neural decoding with SVM and feature selection in a rat active tactile discrimination task,2018
THAIS GAUDÊNCIO,Information theory-based detection of noisy bit planes in medical images,2016
THAIS GAUDÊNCIO,""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico",2009
THAIS GAUDÊNCIO,Comparing gradient boosting algorithms to forecast sales in retail,2023
THAIS GAUDÊNCIO,Evaluating data representations for object recognition during pick-and-place manipulation tasks,2022
THAIS GAUDÊNCIO,Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,2022
THAIS GAUDÊNCIO,Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,2021
THAIS GAUDÊNCIO,Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,2024
THAIS GAUDÊNCIO,League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables,2021
THAIS GAUDÊNCIO,A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context,2020
THAIS GAUDÊNCIO,The structural proteome for the primordial glycolysis/gluconeogenesis,2019
THAIS GAUDÊNCIO,Prediction of potential thermostable proteins in Xylella fastidiosa,2006
THAIS GAUDÊNCIO,Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,2023
THAIS GAUDÊNCIO,Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,2022
THAIS GAUDÊNCIO,Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks,2022
THAIS GAUDÊNCIO,Identification of speechless intervals in audio tracks using convolutional neural networks,2019
THAIS GAUDÊNCIO,Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning,2019
THAIS GAUDÊNCIO,Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas,2024
THAIS GAUDÊNCIO,Long-term demand forecasting applied to a retail company using Prophet,2024
