Source,Target
GG Doronin,NA Larkin
GG Doronin,AJ Souza
NA Larkin,AJ Souza
Arthur V Azevedo,Aparecido J de Souza
Arthur V Azevedo,Frederico Furtado
Arthur V Azevedo,Dan Marchesin
Arthur V Azevedo,Bradley Plohr
Aparecido J de Souza,Frederico Furtado
Aparecido J de Souza,Dan Marchesin
Aparecido J de Souza,Bradley Plohr
Frederico Furtado,Dan Marchesin
Frederico Furtado,Bradley Plohr
Dan Marchesin,Bradley Plohr
Anna Ghazaryan,Yuri Latushkin
Anna Ghazaryan,Stephen Schecter
Anna Ghazaryan,Aparecido J de Souza
Yuri Latushkin,Stephen Schecter
Yuri Latushkin,Aparecido J de Souza
Stephen Schecter,Aparecido J de Souza
Grigori Chapiro,Alexei A Mailybaev
Grigori Chapiro,Aparecido J de Souza
Grigori Chapiro,Dan Marchesin
Grigori Chapiro,Johannes Bruining
Alexei A Mailybaev,Aparecido J de Souza
Alexei A Mailybaev,Dan Marchesin
Alexei A Mailybaev,Johannes Bruining
Aparecido J de Souza,Dan Marchesin
Aparecido J de Souza,Johannes Bruining
Dan Marchesin,Johannes Bruining
AV Azevedo,AJ de Souza
AV Azevedo,Frederico Furtado
AV Azevedo,Dan Marchesin
AJ de Souza,Frederico Furtado
AJ de Souza,Dan Marchesin
Frederico Furtado,Dan Marchesin
Aparecido J de Souza,IY Akkutlu
Aparecido J de Souza,D Marchesin
IY Akkutlu,D Marchesin
G Chapiro,AA Mailybaev
G Chapiro,D Marchesin
G Chapiro,AJ Souza
AA Mailybaev,D Marchesin
AA Mailybaev,AJ Souza
D Marchesin,AJ Souza
PL Andrade,AJ de Souza
PL Andrade,F Furtado
PL Andrade,D Marchesin
AJ de Souza,F Furtado
AJ de Souza,D Marchesin
F Furtado,D Marchesin
Patrício Andrade,Aparecido de Souza
Patrício Andrade,Frederico Furtado
Patrício Andrade,Dan Marchesin
Aparecido de Souza,Frederico Furtado
Aparecido de Souza,Dan Marchesin
Frederico Furtado,Dan Marchesin
Grigori Chapiro,Aparecido Jesuino de Souza
JC Mota,AJ Souza
JC Mota,Ronaldo A Garcia
JC Mota,Pedro W Teixeira
AJ Souza,Ronaldo A Garcia
AJ Souza,Pedro W Teixeira
Ronaldo A Garcia,Pedro W Teixeira
Aparecido J de Souza,Dan Marchesin
Jesus C Da Mota,Aparecido J De Souza
G Chapiro,AA Mailybaev
G Chapiro,D Marchesin
G Chapiro,AJ Souza
AA Mailybaev,D Marchesin
AA Mailybaev,AJ Souza
D Marchesin,AJ Souza
AJ de Souza,D Marchesin
AJ de Souza,P Bedrikovetsky
AJ de Souza,P Krause
D Marchesin,P Bedrikovetsky
D Marchesin,P Krause
P Bedrikovetsky,P Krause
G Chapiro,G Hime
G Chapiro,A Mailybaev
G Chapiro,D Marchesin
G Chapiro,A de Souza
G Hime,A Mailybaev
G Hime,D Marchesin
G Hime,A de Souza
A Mailybaev,D Marchesin
A Mailybaev,A de Souza
D Marchesin,A de Souza
Jesus C da Mota,Aparecido J de Souza
Arthur V Azevedo,Aparecido J de Souza
Arthur V Azevedo,Frederico Furtado
Arthur V Azevedo,Dan Marchesin
Aparecido J de Souza,Frederico Furtado
Aparecido J de Souza,Dan Marchesin
Frederico Furtado,Dan Marchesin
Arthur Azevedo,AJ de Souza
Arthur Azevedo,Frederico Furtado
Arthur Azevedo,Dan Marchesin
