Professor,Artigo
THAIS GAUDÊNCIO,Origin and evolution of RNA-dependent RNA polymerase
THAIS GAUDÊNCIO,Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs
THAIS GAUDÊNCIO,tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world
THAIS GAUDÊNCIO,Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models
THAIS GAUDÊNCIO,A novel method to predict genomic islands based on mean shift clustering algorithm
THAIS GAUDÊNCIO,Evolution of transfer RNA and the origin of the translation system
THAIS GAUDÊNCIO,Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina
THAIS GAUDÊNCIO,Origin of the 16S ribosomal molecule from ancestor tRNAs
THAIS GAUDÊNCIO,Peptidyl transferase center and the emergence of the translation system
THAIS GAUDÊNCIO,Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models
THAIS GAUDÊNCIO,Thermo-search: lifestyle and thermostability analysis
THAIS GAUDÊNCIO,Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação
THAIS GAUDÊNCIO,Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining
THAIS GAUDÊNCIO,Machine generation of audio description for blind and visually impaired people
THAIS GAUDÊNCIO,Sovereign risk ratings’ country classification using machine learning
THAIS GAUDÊNCIO,Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system
THAIS GAUDÊNCIO,Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia
THAIS GAUDÊNCIO,Origin of the 16S ribosomal molecule from ancestor tRNAs
THAIS GAUDÊNCIO,A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras
THAIS GAUDÊNCIO,"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona"
THAIS GAUDÊNCIO,A proposal of the proteome before the last universal common ancestor (LUCA)
THAIS GAUDÊNCIO,In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans
THAIS GAUDÊNCIO,RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction
THAIS GAUDÊNCIO,An overview of databases and bioinformatics tools for plant antimicrobial peptides
THAIS GAUDÊNCIO,A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health
THAIS GAUDÊNCIO,Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação
THAIS GAUDÊNCIO,Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development
THAIS GAUDÊNCIO,"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics"
THAIS GAUDÊNCIO,Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos
THAIS GAUDÊNCIO,Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303
THAIS GAUDÊNCIO,CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles
THAIS GAUDÊNCIO,Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras
THAIS GAUDÊNCIO,Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language
THAIS GAUDÊNCIO,A deep learning approach to detect hyoid bone in ultrasound exam
THAIS GAUDÊNCIO,Neural decoding with SVM and feature selection in a rat active tactile discrimination task
THAIS GAUDÊNCIO,Information theory-based detection of noisy bit planes in medical images
THAIS GAUDÊNCIO,""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico"
THAIS GAUDÊNCIO,Comparing gradient boosting algorithms to forecast sales in retail
THAIS GAUDÊNCIO,Evaluating data representations for object recognition during pick-and-place manipulation tasks
THAIS GAUDÊNCIO,Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise
THAIS GAUDÊNCIO,Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.
THAIS GAUDÊNCIO,Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations
THAIS GAUDÊNCIO,League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables
THAIS GAUDÊNCIO,A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context
THAIS GAUDÊNCIO,The structural proteome for the primordial glycolysis/gluconeogenesis
THAIS GAUDÊNCIO,Prediction of potential thermostable proteins in Xylella fastidiosa
THAIS GAUDÊNCIO,Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study
THAIS GAUDÊNCIO,Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net
THAIS GAUDÊNCIO,Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks
THAIS GAUDÊNCIO,Identification of speechless intervals in audio tracks using convolutional neural networks
THAIS GAUDÊNCIO,Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning
THAIS GAUDÊNCIO,Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas
THAIS GAUDÊNCIO,Long-term demand forecasting applied to a retail company using Prophet
THAIS GAUDÊNCIO,Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet
THAIS GAUDÊNCIO,Evaluating Deep Learning-based Chess-Engine Endgame Strategies
THAIS GAUDÊNCIO,Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis
THAIS GAUDÊNCIO,Automatic Recognition of Units
THAIS GAUDÊNCIO,Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought
THAIS GAUDÊNCIO,Portal para exposição de infográficos interativos dos dados das proposições da Câmara dos Deputados
THAIS GAUDÊNCIO,Detecção de ilhas genômicas em procariotos utilizando o método Expectation-Maximization
