Artigo,Coautor
Origin and evolution of RNA-dependent RNA polymerase,Savio T de Farias
Origin and evolution of RNA-dependent RNA polymerase,Ariosvaldo P dos Santos Junior
Origin and evolution of RNA-dependent RNA polymerase,Thais G Rêgo
Origin and evolution of RNA-dependent RNA polymerase,Marco V José
Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs,Sávio T Farias
Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs,Thais G Rêgo
Origin and evolution of the Peptidyl Transferase Center from proto-tRNAs,Marco V José
tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world,Savio T De Farias
tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world,Thais G Rêgo
tRNA core hypothesis for the transition from the RNA world to the ribonucleoprotein world,Marco V José
Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models,Ivan G Costa
Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models,Helge G Roider
Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models,Thais G Do Rego
Predicting gene expression in T cell differentiation from histone modifications and transcription factor binding affinities by linear mixture models,Francisco De At De Carvalho
A novel method to predict genomic islands based on mean shift clustering algorithm,Daniel M de Brito
A novel method to predict genomic islands based on mean shift clustering algorithm,Vinicius Maracaja-Coutinho
A novel method to predict genomic islands based on mean shift clustering algorithm,Savio T de Farias
A novel method to predict genomic islands based on mean shift clustering algorithm,Leonardo V Batista
A novel method to predict genomic islands based on mean shift clustering algorithm,Thaís G do Rêgo
Evolution of transfer RNA and the origin of the translation system,Savio T de Farias
Evolution of transfer RNA and the origin of the translation system,Thaís G do Rêgo
Evolution of transfer RNA and the origin of the translation system,Marco V José
Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina,Daniel Miranda De Brito
Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina,Iron Araújo de Almeida Júnior
Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina,Eduardo Vieira Queiroga
Predição de desempenho de alunos do primeiro período baseado nas notas de ingresso utilizando métodos de aprendizagem de máquina,Thaís Gaudencio Do Rêgo
Origin of the 16S ribosomal molecule from ancestor tRNAs,Savio Torres de Farias
Origin of the 16S ribosomal molecule from ancestor tRNAs,Thais Gaudêncio Rêgo
Origin of the 16S ribosomal molecule from ancestor tRNAs,Marco V José
Peptidyl transferase center and the emergence of the translation system,Savio Torres de Farias
Peptidyl transferase center and the emergence of the translation system,Thais Gaudêncio Rêgo
Peptidyl transferase center and the emergence of the translation system,Marco V José
Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models,Thais G do Rego
Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models,Helge G Roider
Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models,Francisco AT de Carvalho
Inferring epigenetic and transcriptional regulation during blood cell development with a mixture of sparse linear models,Ivan G Costa
Thermo-search: lifestyle and thermostability analysis,Savio T Farias
Thermo-search: lifestyle and thermostability analysis,Marx G van der Linden
Thermo-search: lifestyle and thermostability analysis,Thais G Rêgo
Thermo-search: lifestyle and thermostability analysis,Demétrius AM Araújo
Thermo-search: lifestyle and thermostability analysis,Maria Christina M Bonato
Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação,Túlio Albuquerque Pascoal
Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação,DM Brito
Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação,TG Rêgo
Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,Daniel Miranda Brito
Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,Marcílio O Lemos
Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,Túlio Albuquerque Pascoal
Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,Thaís Gaudencio do Rêgo
Identificação de estudantes do primeiro semestre com risco de evasão através de técnicas de Data Mining,Jairo Gustavo G de O Araújo
Machine generation of audio description for blind and visually impaired people,Virgínia P Campos
Machine generation of audio description for blind and visually impaired people,Luiz MG Gonçalves
Machine generation of audio description for blind and visually impaired people,Wesnydy L Ribeiro
Machine generation of audio description for blind and visually impaired people,Tiago MU Araújo
Machine generation of audio description for blind and visually impaired people,Thaís G Do Rego
Machine generation of audio description for blind and visually impaired people,Pedro HV Figueiredo
Machine generation of audio description for blind and visually impaired people,Suanny FS Vieira
Machine generation of audio description for blind and visually impaired people,Thiago FS Costa
Machine generation of audio description for blind and visually impaired people,Caio C Moraes
Machine generation of audio description for blind and visually impaired people,Alexandre CS Cruz
Machine generation of audio description for blind and visually impaired people,Felipe A Araújo
Machine generation of audio description for blind and visually impaired people,Guido L Souza Filho
Sovereign risk ratings’ country classification using machine learning,Diego Ramon B da Silva
Sovereign risk ratings’ country classification using machine learning,Thaís Gaudêncio do Rêgo
Sovereign risk ratings’ country classification using machine learning,Bruno Ferreira Frascaroli
Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system,Savio Torres de Farias
